Year,Week_Number,mean_return,volatility
2014,0,-0.171,0.24183051916579926
2014,1,-0.15440000000000004,0.5067073119661882
2014,2,-0.47739999999999994,0.6663391028597976
2014,3,-0.58575,0.12180140940618599
2014,4,0.0744,0.7060597000254298
2014,5,-0.24359999999999998,1.4782350286743984
2014,6,0.5482,0.5365307074157079
2014,7,-0.8919999999999999,0.5855829004789443
2014,8,0.43220000000000003,0.8792301746414304
2014,9,0.09980000000000001,0.8138572970736332
2014,10,-0.07880000000000001,0.793865668737476
2014,11,0.4896000000000001,0.7260194900965125
2014,12,-0.022800000000000015,0.6107271895044464
2014,13,0.34120000000000006,0.30094966356518826
2014,14,-0.20859999999999998,0.9047888151386488
2014,15,0.3805,0.7525926299577127
2014,16,0.24500000000000002,0.3032762766851374
2014,17,0.12940000000000004,0.8018505471719777
2014,18,0.14620000000000002,0.7880759481166775
2014,19,-0.5538,1.08062097888205
2014,20,-0.365,0.5579166604431167
2014,21,0.3815,0.5340477506740385
2014,22,0.11460000000000001,0.2830782577309674
2014,23,-0.5056,0.14479744472883493
2014,24,0.10859999999999999,0.5432911742334859
2014,25,-0.09040000000000001,0.6071147338024337
2014,26,0.13825,0.34910874619044807
2014,27,0.28059999999999996,0.5101747739745665
2014,28,0.073,0.43254248346260743
2014,29,-0.292,0.4787415795604138
2014,30,-0.6464000000000001,0.6148587642702997
2014,31,0.44000000000000006,0.9390748106514198
2014,32,-0.20659999999999998,0.4337733279029498
2014,33,0.4902,0.31750228345635567
2014,34,-0.06040000000000001,0.3588039854851114
2014,35,0.66025,0.42752884892912973
2014,36,-0.45099999999999996,0.5494601896407054
2014,37,0.2814,0.4318075960424967
2014,38,-0.08599999999999997,1.3192291309700523
2014,39,0.22119999999999998,0.8046227066147214
2014,40,0.25040000000000007,0.6543357700752727
2014,41,-1.0842,1.6988364253217556
2014,42,0.6116,0.6307525663839981
2014,43,-0.029999999999999992,0.24262728618191318
2014,44,0.65,0.5964176389075024
2014,45,1.0579999999999998,2.1047397701378667
2014,46,0.40619999999999995,0.7249584126003367
2014,47,0.8505,1.547212870508343
2014,48,-0.6796,0.6832165103391458
2014,49,-0.07140000000000002,0.7398697858407247
2014,50,0.32799999999999996,1.4271708026721959
2014,51,0.5115000000000001,0.7060507536053386
2014,52,-0.395,0.6103466228300112
2015,0,0.027,0.0
2015,1,0.7992,1.62158786379277
2015,2,-0.5724,1.5763352435316542
2015,3,0.5005000000000001,0.9623646225140795
2015,4,-0.8013999999999999,1.5700445216617267
2015,5,0.5486,0.3014022229513246
2015,6,-0.34439999999999993,1.23814510458185
2015,7,-0.4287500000000001,1.8884389276154347
2015,8,-0.08799999999999997,0.6261233903952159
2015,9,-0.317,0.965402506729706
2015,10,-0.04260000000000006,1.0635844113186315
2015,11,0.33420000000000005,1.4967600676127086
2015,12,-0.4558000000000001,1.0398447961114197
2015,13,-0.182,1.3685805298434823
2015,14,-0.018599999999999988,0.49882993093839106
2015,15,-0.6958,0.5972191390101292
2015,16,0.49779999999999996,0.4362215033672686
2015,17,-0.3094,0.8484811724487468
2015,18,0.11240000000000001,0.8478017456929421
2015,19,0.184,0.9115571841634511
2015,20,-0.8526,2.0516062731430704
2015,21,-0.52325,0.6938776909513664
2015,22,-0.32720000000000005,0.903222397862232
2015,23,-0.16959999999999997,0.5373423489731662
2015,24,0.0854,0.5702107505124749
2015,25,-0.17079999999999998,0.4099971951123569
2015,26,-0.08625000000000002,1.0269720460330618
2015,27,0.354,1.0715110825371803
2015,28,0.07539999999999998,0.6139978012989948
2015,29,-0.49860000000000004,0.6958360439068961
2015,30,0.11460000000000001,0.5260340293174958
2015,31,-0.05779999999999994,1.6948381043627738
2015,32,0.3174,0.5868937723302233
2015,33,-1.6619999999999997,1.3686659563238943
2015,34,-0.45339999999999997,2.737818438099941
2015,35,-0.3216,1.1397031631087104
2015,36,0.3232499999999999,2.66944867903468
2015,37,-0.40619999999999995,0.8707908474484558
2015,38,0.1382,0.3142820389395487
2015,39,0.3776,1.0157520858949787
2015,40,0.5252,0.7703558917798967
2015,41,-2.3796,4.316163145665372
2015,42,-0.19779999999999998,0.5209056536456481
2015,43,-0.366,0.7631251535626381
2015,44,0.5316,0.23222467569145194
2015,45,-0.812,0.8116018112350414
2015,46,1.2788,1.9384053239712276
2015,47,-0.078,0.5849484307754544
2015,48,0.09919999999999995,1.1851184329002735
2015,49,-0.09540000000000005,1.1584035566243744
2015,50,-0.16239999999999993,1.6150802766426193
2015,51,0.8334999999999999,0.8920756694361751
2015,52,0.19425000000000003,0.8750239520531232
2016,1,0.7338000000000001,1.919145174289845
2016,2,-0.49499999999999994,1.9003681222331636
2016,3,0.32,2.058350796147246
2016,4,1.1514,1.3185669493810317
2016,5,0.1956,1.1400233769532973
2016,6,-0.23899999999999993,1.0823467558966489
2016,7,-0.5695,1.7118540630945542
2016,8,0.5751999999999999,1.5955239578270206
2016,9,0.08439999999999999,0.5408999907561471
2016,10,0.2644,0.8037974247283951
2016,11,-0.06339999999999997,0.7842485575377236
2016,12,0.397,0.9573651341050603
2016,13,0.3114,0.6619356464188947
2016,14,-0.29080000000000006,0.6842654455691884
2016,15,0.2992,1.1729480806924064
2016,16,-0.09600000000000002,0.8980879689651788
2016,17,-0.5364,1.514289041101467
2016,18,0.4128,0.9371086916681544
2016,19,-0.8318000000000001,1.8621999624100523
2016,20,1.5622000000000003,4.853739661333311
2016,21,0.2576,0.6133260144490856
2016,22,0.03925000000000001,0.43424752925798743
2016,23,0.07759999999999999,0.24393195772591997
2016,24,-0.051000000000000004,0.6048826332438385
2016,25,0.28300000000000003,0.2952786819260747
2016,26,0.236,0.8055032588388454
2016,27,0.35300000000000004,0.5529870402339161
2016,28,-0.04320000000000003,0.6043303732231237
2016,29,-0.0324,0.26116623058887223
2016,30,-0.1582,0.3166183822837834
2016,31,0.2178,0.7876847084969976
2016,32,0.17360000000000003,0.6827820296404995
2016,33,-0.2852,1.4232626953588012
2016,34,-0.4598,0.7211537284102468
2016,35,0.3802,0.9411637477081234
2016,36,-0.7615000000000001,1.2208329124003825
2016,37,0.7258000000000001,1.1429373123666933
2016,38,-0.1394,0.5417105315572146
2016,39,-0.05480000000000005,1.4653449082042085
2016,40,-0.9624,1.3054195877188302
2016,41,-0.06980000000000003,0.9003425459234946
2016,42,-0.030200000000000005,0.5930541290641184
2016,43,0.4806,0.4288540544287765
2016,44,-0.23620000000000002,0.5787678290990265
2016,45,0.5938000000000001,0.8292250599204055
2016,46,-0.7562,1.6046930236029568
2016,47,0.967,0.2776232459047092
2016,48,-0.09599999999999996,0.7065115002602577
2016,49,-0.0826,0.9349846522804532
2016,50,0.26,1.1607189582323534
2016,51,-0.4024,1.2306637639907987
2016,52,-0.15150000000000002,0.32717834076641855
2017,1,-0.30750000000000005,0.8809057838384307
2017,2,-0.3318,0.8301723917355961
2017,3,0.026249999999999996,1.2752062251520992
2017,4,-0.45380000000000004,1.0054015118349484
2017,5,0.25799999999999995,0.7819900894512667
2017,6,0.46180000000000004,1.3480017433223148
2017,7,0.396,0.6462132001127802
2017,8,1.07825,1.5322054638113434
2017,9,-0.6582,0.6385093578014343
2017,10,0.1666,0.33188748093292103
2017,11,-0.059399999999999974,0.695493925207115
2017,12,-0.07919999999999998,0.41943199687196014
2017,13,0.7,0.4247428633891333
2017,14,0.23259999999999997,1.0598796158054933
2017,15,0.08499999999999999,0.3764713357835715
2017,16,0.48539999999999994,0.3159609153044091
2017,17,0.0634,0.36106966086892434
2017,18,0.34900000000000003,0.2607565914794869
2017,19,-0.071,0.7267155564593344
2017,20,0.8078,1.777607858893519
2017,21,-0.1626,0.24377099909546251
2017,22,0.47625,0.7789640021635574
2017,23,-0.04699999999999997,0.9919362378701567
2017,24,-1.0566,2.1189882727377234
2017,25,-0.10540000000000001,0.8139043555602833
2017,26,0.22619999999999996,0.726103780461168
2017,27,-0.11649999999999999,0.2588107416627061
2017,28,0.28060000000000007,1.809730173257881
2017,29,-0.049999999999999996,0.2712849055882026
2017,30,0.9447999999999999,0.7850243308331278
2017,31,0.1686,0.4296856990871351
2017,32,0.10859999999999995,0.8572480971107489
2017,33,-0.2704,0.8067188481745049
2017,34,-0.16700000000000004,1.0622092543373929
2017,35,-0.06280000000000001,0.7202476657372796
2017,36,0.16899999999999998,1.3821992138135033
2017,37,0.3766,0.42372668077429343
2017,38,-0.21059999999999998,0.5167618406964662
2017,39,-0.3504,0.48776972025741816
2017,40,0.2202,0.5791823547035941
2017,41,1.8679999999999999,1.6165862179296222
2017,42,0.19240000000000004,0.7892976624822855
2017,43,0.16959999999999997,0.8554304764269275
2017,44,0.3428,0.9923573952966742
2017,45,0.2784000000000001,0.9375232263789521
2017,46,1.5106000000000002,5.34240281146976
2017,47,-0.21975000000000003,0.5294219331812136
2017,48,0.1514,0.41723949956829354
2017,49,-0.057599999999999985,0.5488873290576126
2017,50,0.11719999999999997,0.6659926426020035
2017,51,0.22640000000000002,0.6639844124676422
2017,52,0.14075,0.6633758989693048
2018,0,0.3485,0.4656253859058803
2018,1,0.1516,1.1024099963262306
2018,2,0.91325,1.0281168464722286
2018,3,0.7186,0.6514282769422892
2018,4,-0.7298,1.0439433413744255
2018,5,-0.9703999999999999,2.514824307978591
2018,6,1.0661999999999998,0.5947547393674135
2018,7,-2.85875,5.1792724312075595
2018,8,-0.9004,0.8442803444354251
2018,9,0.11300000000000002,1.270788731457751
2018,10,0.10600000000000001,1.0854862965509975
2018,11,-0.8496,1.2001372004900106
2018,12,1.036,1.852539878113289
2018,13,-0.5002000000000001,2.1239029403435556
2018,14,-0.1538,0.5722365769504778
2018,15,0.2266,0.9368032344094462
2018,16,0.07279999999999998,0.8865820323015801
2018,17,0.06220000000000003,1.3198349139191614
2018,18,-0.8292000000000002,1.7795809057190966
2018,19,0.07220000000000004,1.563227334714948
2018,20,-0.28020000000000006,0.8620818986616062
2018,21,0.17025,1.635014449477435
2018,22,0.33820000000000006,1.5433321742256267
2018,23,-0.15839999999999999,0.1385795800253414
2018,24,0.269,0.6916173074757456
2018,25,0.19940000000000005,1.2734913819889007
2018,26,-0.3285,1.0887648965685843
2018,27,0.7472000000000001,1.0820566990689535
2018,28,0.08379999999999999,0.4130559284164797
2018,29,0.017,0.3600729092836616
2018,30,0.33359999999999995,0.8356606966945377
2018,31,0.2468,0.6840092835627306
2018,32,1.7175999999999998,4.345209177933786
2018,33,-0.597,0.759892426597344
2018,34,0.19400000000000003,0.8817255808923772
2018,35,-0.0050000000000000044,0.908605891829162
2018,36,-0.258,0.7982653067746338
2018,37,0.2768,0.3305369873402975
2018,38,-0.4191999999999999,0.4416505405861064
2018,39,-0.12519999999999998,0.871425957841514
2018,40,0.33420000000000005,1.9030468202332804
2018,41,0.4948,1.2373555269202139
2018,42,0.3686,0.8184878129819649
2018,43,0.492,1.6935403744818132
2018,44,0.8204,0.455155248239543
2018,45,-1.536,0.4259436582460173
2018,46,-0.6619999999999999,1.5694243105886523
2018,47,0.5367999999999999,1.1377256699222356
2018,48,-1.0165,1.736899632486959
2018,49,-0.2868,0.7626773236434922
2018,50,-1.0412,1.5367441882109072
2018,51,1.43575,2.8668396507885356
2018,52,1.106,0.0
